iter	Passed	Remaining
0	0	56
1	0	51
2	0	50
3	0	49
4	0	48
5	0	47
6	1	47
7	1	47
8	1	46
9	1	46
10	1	45
11	1	45
12	2	44
13	2	44
14	2	44
15	2	44
16	2	44
17	2	43
18	2	43
19	3	43
20	3	43
21	3	42
22	3	42
23	3	42
24	3	42
25	4	42
26	4	42
27	4	41
28	4	41
29	4	41
30	4	41
31	4	41
32	5	40
33	5	40
34	5	40
35	5	40
36	5	40
37	5	39
38	5	39
39	6	39
40	6	39
41	6	39
42	6	39
43	6	39
44	6	39
45	7	39
46	7	39
47	7	39
48	7	38
49	7	38
50	7	38
51	8	38
52	8	38
53	8	37
54	8	37
55	8	37
56	8	37
57	8	37
58	9	37
59	9	37
60	9	37
61	9	37
62	9	37
63	10	37
64	10	36
65	10	36
66	10	36
67	10	36
68	11	36
69	11	36
70	11	36
71	11	36
72	11	36
73	11	35
74	11	35
75	12	35
76	12	35
77	12	35
78	12	34
79	12	34
80	12	34
81	12	34
82	13	34
83	13	34
84	13	33
85	13	33
86	13	33
87	13	33
88	14	33
89	14	33
90	14	32
91	14	32
92	14	32
93	14	32
94	14	32
95	15	31
96	15	31
97	15	31
98	15	31
99	15	31
100	15	31
101	15	30
102	16	30
103	16	30
104	16	30
105	16	30
106	16	30
107	16	29
108	16	29
109	17	29
110	17	29
111	17	29
112	17	29
113	17	28
114	17	28
115	18	28
116	18	28
117	18	28
118	18	28
119	18	27
120	18	27
121	18	27
122	19	27
123	19	27
124	19	27
125	19	26
126	19	26
127	19	26
128	19	26
129	20	26
130	20	26
131	20	26
132	20	25
133	20	25
134	20	25
135	21	25
136	21	25
137	21	25
138	21	25
139	21	24
140	21	24
141	22	24
142	22	24
143	22	24
144	22	24
145	22	24
146	22	23
147	23	23
148	23	23
149	23	23
150	23	23
151	23	23
152	23	22
153	23	22
154	24	22
155	24	22
156	24	22
157	24	22
158	24	21
159	24	21
160	25	21
161	25	21
162	25	21
163	25	21
164	25	20
165	25	20
166	25	20
167	26	20
168	26	20
169	26	20
170	26	20
171	26	19
172	26	19
173	27	19
174	27	19
175	27	19
176	27	19
177	27	18
178	27	18
179	28	18
180	28	18
181	28	18
182	28	18
183	28	18
184	29	18
185	29	17
186	29	17
187	29	17
188	29	17
189	30	17
190	30	17
191	30	17
192	30	16
193	30	16
194	30	16
195	31	16
196	31	16
197	31	16
198	31	15
199	31	15
200	31	15
201	31	15
202	32	15
203	32	15
204	32	14
205	32	14
206	32	14
207	32	14
208	33	14
209	33	14
210	33	14
211	33	13
212	33	13
213	33	13
214	33	13
215	34	13
216	34	13
217	34	12
218	34	12
219	34	12
220	34	12
221	35	12
222	35	12
223	36	12
224	36	12
225	36	11
226	36	11
227	36	11
228	36	11
229	37	11
230	37	11
231	37	10
232	37	10
233	37	10
234	37	10
235	38	10
236	38	10
237	38	10
238	38	9
239	38	9
240	38	9
241	38	9
242	39	9
243	39	9
244	39	8
245	39	8
246	39	8
247	39	8
248	40	8
249	40	8
250	40	7
251	40	7
252	40	7
253	41	7
254	41	7
255	41	7
256	41	6
257	41	6
258	41	6
259	41	6
260	42	6
261	42	6
262	42	5
263	42	5
264	42	5
265	42	5
266	43	5
267	43	5
268	43	5
269	43	4
270	43	4
271	43	4
272	43	4
273	44	4
274	44	4
275	44	3
276	44	3
277	44	3
278	44	3
279	45	3
280	45	3
281	45	2
282	45	2
283	45	2
284	45	2
285	45	2
286	46	2
287	46	1
288	46	1
289	46	1
290	46	1
291	46	1
292	46	1
293	47	0
294	47	0
295	47	0
296	47	0
297	47	0
298	47	0
299	48	0
